player_name,href,pos,height,weight,team,birthday_code 
Jagos Lasic,/player/Jagos-Lasic/Summary/84871,SF,6-8,200,St. Francis (NY),19400101
Ethan Lasko,/player/Ethan-Lasko/Summary/121309,G,6-2,171,Indiana,19990604
D.J. Laster,/player/DJ-Laster/Summary/85095,PF,6-6,230,Gardner-Webb,19960816
Mike Laster,/player/Mike-Laster/Summary/80728,G,6-5,199,Ohio,19960111
Khadeem Lattin,/player/Khadeem-Lattin/Summary/32644,F,6-9,212,Oklahoma,19950419
Dwayne Lautier-Ogunleye,/player/Dwayne-Lautier-Ogunleye/Summary/41597,GF,6-4,210,Bradley,19960323
Deion Lavender,/player/Deion-Lavender/Summary/80787,G,6-4,192,UAB,19960118
Victor Law,/player/Victor-Law/Summary/52054,SF,6-7,200,Northwestern,19400101
Brandon Lawrence,/player/Brandon-Lawrence/Summary/85824,SG,6-2,175,St. John's,19400101
Jack Lawrence,/player/Jack-Lawrence/Summary/107154,C,6-9,245,Navy,19400101
"Anthony Lawrence, Jr.",/player/Anthony-Lawrence-Jr/Summary/83993,SF,6-7,210,Miami (FL),19960905
Kimani Lawrence,/player/Kimani-Lawrence/Summary/88812,SF,6-7,200,Arizona State,19980313
Mustafa Lawrence,/player/Mustafa-Lawrence/Summary/121567,G,6-0,186,Missouri State,19400101
Jaylen Barford,/player/Jaylen-Barford/Summary/107065,SG,6-3,202,Arkansas,19960123
Marcus Barham,/player/Marcus-Barham/Summary/111354,G,6-5,185,Florida A&M;,19400101
Callum Barker,/player/Callum-Barker/Summary/76395,PF,6-9,235,Bradley,19960830
Kentrell Barkley,/player/Kentrell-Barkley/Summary/85120,SF,6-5,205,East Carolina,19960901
Chancellor Barnard,/player/Chancellor-Barnard/Summary/81174,G,6-4,187,Loyola (MD),19400101
Bray Barnes,/player/Bray-Barnes/Summary/81878,F,6-5,185,Cal State Bakersfield,19951001
Bryce Barnes,/player/Bryce-Barnes/Summary/106722,PG,5-11,172,Milwaukee,19980324
Destin Barnes,/player/Destin-Barnes/Summary/106901,SF,6-6,210,Boston University,19960909
Elijah Barnes,/player/Elijah-Barnes/Summary/121871,F,6-8,210,Princeton,19400101
Isaac Barnes,/player/Isaac-Barnes/Summary/87276,PF,6-8,225,Oregon State,19971024
Jordan Barnes,/player/Jordan-Barnes/Summary/85945,PG,5-11,160,Indiana State,19400101
Trevond Barnes,/player/Trevond-Barnes/Summary/101364,F,6-9,210,Hampton,19970720
Tyler Barnes,/player/Tyler-Barnes/Summary/128633,F,6-8,205,Alabama,19400101
De'von Barnett,/player/Devon-Barnett/Summary/58620,G,6-5,195,Sacred Heart,19941101
Jordan Barnett,/player/Jordan-Barnett/Summary/53452,SF,6-7,215,Missouri,19951231
Brett Barney,/player/Brett-Barney/Summary/97483,C,6-9,210,Wichita State,19950823
Shakwon Barrett,/player/Shakwon-Barrett/Summary/121517,G,6-5,180,Tulane,19400101
Brendan Barry,/player/Brendan-Barry/Summary/107652,PG,6-2,170,Dartmouth,19970803
Josh Okogie,/player/Josh-Okogie/Summary/94058,GF,6-4,213,Georgia Tech,19980901
Obi Okolie,/player/Obi-Okolie/Summary/97663,G,6-5,205,Brown,19400101
Simon Okolue,/player/Simon-Okolue/Summary/108014,C,6-10,230,Delaware State,19951030
Namdi Okonkwo,/player/Namdi-Okonkwo/Summary/90835,C,7-0,220,Pacific,19940228
Kingsley Okoroh,/player/Kingsley-Okoroh/Summary/50488,C,7-1,267,California,19950424
Kezie Okpala,/player/Kezie-Okpala/Summary/106472,SG,6-8,195,Stanford,19990428
Ikenna Okwarabizie,/player/Ikenna-Okwarabizie/Summary/89300,C,6-9,255,UCLA,19950506
Samson Oladimeji,/player/Samson-Oladimeji/Summary/113988,G,6-4,195,Illinois,19400101
Gunnar Olafsson,/player/Gunnar-Olafsson/Summary/52062,G,6-3,195,St. Francis (NY),19930609
Elijah Olaniyi,/player/Elijah-Olaniyi/Summary/122181,F,6-5,200,Stony Brook,19400101
Yalim Olcay,/player/Yalim-Olcay/Summary/109731,F,6-8,225,Western Carolina,19400101
Shawn Olden,/player/Shawn-Olden/Summary/81261,G,6-3,180,Texas Christian,19400101
Evin Olds,/player/Evin-Olds/Summary/124619,G,6-0,155,Memphis,19400101
Dominik Olejniczak,/player/Dominik-Olejniczak/Summary/53114,C,7-0,255,Ole Miss,19960701
Jack Raboin,/player/Jack-Raboin/Summary/121602,G,6-6,205,Saint Louis,19400101
Willie Jackson,/player/Willie-Jackson/Summary/85908,SF,6-6,212,Toledo,19400101
Xavier Jackson,/player/Xavier-Jackson/Summary/121607,G,6-3,190,VCU,19951114
Zach Jackson,/player/Zach-Jackson/Summary/97571,G,6-5,185,Omaha,19400101
Parker Jackson-Cartwright,/player/Parker-Jackson-Cartwright/Summary/41310,G,5-11,170,Arizona,19950712
Trejon Jacob,/player/Trejon-Jacob/Summary/121620,G,6-5,175,Florida International,19400101
Chibueze Jacobs,/player/Chibueze-Jacobs/Summary/88750,SF,6-4,195,Sacramento State,19400101
Zach Jacobs,/player/Zach-Jacobs/Summary/121979,F,6-8,220,James Madison,19400101
A.J. Jacobson,/player/AJ-Jacobson/Summary/57493,G,6-6,210,North Dakota State,19940802
Henrik Jadersten,/player/Henrik-Jadersten/Summary/37893,FC,6-11,235,Santa Clara,19950318
Johnny Jager,/player/Johnny-Jager/Summary/105431,G,6-0,185,Indiana,19960927
Musa Jallow,/player/Musa-Jallow/Summary/116581,SF,6-5,200,Ohio State,19400101
"Derrik Jamerson, Jr.",/player/Derrik-Jamerson-Jr/Summary/122449,G,6-5,190,Norfolk State,19400101
Kane Ma,/player/Kane-Ma/Summary/128940,G,6-0,175,North Carolina,19400101
Eric Carter,/player/Eric-Carter/Summary/80586,F,6-9,225,Delaware,19950928
Ian Carter,/player/Ian-Carter/Summary/85673,PF,6-7,205,Dartmouth,19980311
Jason Carter,/player/Jason-Carter/Summary/93374,PF,6-8,224,Ohio,19971223
Jevon Carter,/player/Jevon-Carter/Summary/80283,G,6-2,205,West Virginia,19950914
"Wendell Carter, Jr.",/player/Wendell-Carter-Jr/Summary/76236,PF,6-10,259,Duke,19990416
Myles Carter,/player/Myles-Carter/Summary/84065,PF,6-9,230,Seattle,19400101
Myles Carter,/player/Myles-Carter/Summary/125457,SG,6-1,170,Delaware State,19400101
Nahziah Carter,/player/Nahziah-Carter/Summary/105811,SF,6-6,205,Washington,19990824
Traci Carter,/player/Traci-Carter/Summary/83975,PG,6-1,175,La Salle,19960625
Ian Kinard,/player/Ian-Kinard/Summary/110495,F,6-8,210,South Carolina State,19400101
Daniel Kinchen,/player/Daniel-Kinchen/Summary/121818,G,6-3,155,SIU-Edwardsville,19400101
Leland King II,/player/Leland-King-II/Summary/57314,F,6-7,215,UC Santa Barbara,19950511
Alex King,/player/Alex-King/Summary/124705,F,6-8,197,Army,19400101
Brooks King,/player/Brooks-King/Summary/121461,G,6-3,200,Utah,19400101
Derek King,/player/Derek-King/Summary/61192,G,6-3,198,California,19400101
George King,/player/George-King/Summary/56831,GF,6-6,225,Colorado,19940115
Greg King,/player/Greg-King/Summary/90841,PF,6-7,230,Niagara,19950307
Immanuel King,/player/Immanuel-King/Summary/107645,PF,6-8,230,Texas State,19400101
Jalen King,/player/Jalen-King/Summary/88810,PF,6-8,210,Eastern Michigan,19400101
Jamaal King,/player/Jamaal-King/Summary/85331,PG,5-10,170,St. Francis (PA),19400101
Cole Harrison,/player/Cole-Harrison/Summary/57331,FC,6-11,245,William & Mary,19940505
James Harrison,/player/James-Harrison/Summary/58911,G,6-5,210,Lamar,19400101
James Harrison,/player/James-Harrison/Summary/122220,F,6-8,225,East Tennessee State,19400101
Tim Harrison,/player/Tim-Harrison/Summary/85697,PF,6-8,220,Rice,19971230
Tyren Harrison,/player/Tyren-Harrison/Summary/118765,F,6-5,185,New Orleans,19400101
Alex Hart,/player/Alex-Hart/Summary/58184,F,6-10,228,UC Santa Barbara,19951222
Isaiah Hart,/player/Isaiah-Hart/Summary/121720,G,5-11,179,Loyola (MD),19400101
Jalin Hart,/player/Jalin-Hart/Summary/106882,PG,5-11,160,Incarnate Word,19950614
Braun Hartfield,/player/Braun-Hartfield/Summary/106920,SG,6-6,185,Youngstown State,19400101
Collin Hartman,/player/Collin-Hartman/Summary/24322,F,6-7,220,Indiana,19940627
Philipp Hartwich,/player/Philipp-Hartwich/Summary/81256,C,7-1,250,Portland,19400101
Usman Haruna,/player/Usman-Haruna/Summary/122656,F,6-11,215,East Carolina,19400101
D.J. Harvey,/player/DJ-Harvey/Summary/81689,SF,6-6,220,Notre Dame,19980613
James Harvey,/player/James-Harvey/Summary/87238,SG,6-2,170,McNeese State,19400101
Montae Glenn,/player/Montae-Glenn/Summary/85344,PF,6-8,230,Georgia Southern,19970517
Chaz Glotta,/player/Chaz-Glotta/Summary/80786,G,6-2,170,Northern Colorado,19950314
Zach Glotta,/player/Zach-Glotta/Summary/85076,PG,6-0,185,Austin Peay,19960926
Charles Glover,/player/Charles-Glover/Summary/58606,G,6-1,195,Longwood,19940218
Jamison Glover,/player/Jamison-Glover/Summary/85609,G,6-1,195,William & Mary,19400101
Marquise Godwin,/player/Marquise-Godwin/Summary/105826,GF,6-5,185,Old Dominion,19400101
Will Goff,/player/Will-Goff/Summary/81146,G,6-3,185,Boston University,19941213
Kenny Goins,/player/Kenny-Goins/Summary/79871,F,6-7,230,Michigan State,19960911
Grant Golden,/player/Grant-Golden/Summary/89405,PF,6-10,260,Richmond,19400101
Markus Golder,/player/Markus-Golder/Summary/121570,GF,6-6,195,Valparaiso,19400101
Brandon Goldsmith,/player/Brandon-Goldsmith/Summary/124398,GF,6-5,195,North Carolina Central,19400101
Jordan Goldwire,/player/Jordan-Goldwire/Summary/121409,G,6-2,172,Duke,19400101
James Gollon,/player/James-Gollon/Summary/88549,SF,6-5,194,Ohio,19970416
Gyorgy Goloman,/player/Gyorgy-Goloman/Summary/43767,PF,6-11,225,UCLA,19960402
Ronnie Gombe,/player/Ronnie-Gombe/Summary/85277,PF,6-8,240,Robert Morris,19920721
Ryan Gomes,/player/Ryan-Gomes/Summary/106746,C,6-10,240,Mount St. Mary's,19400101
Terrell Gomez,/player/Terrell-Gomez/Summary/85779,PG,5-8,160,Cal State Northridge,19400101
Elijah Gonzales,/player/Elijah-Gonzales/Summary/121941,PG,5-9,155,Saint Peter's,19400101
Jorge Pacheco-Ortiz,/player/Jorge-Pacheco-Ortiz/Summary/52009,SG,6-1,170,Liberty,19980621
Blake Pagon,/player/Blake-Pagon/Summary/112929,G,6-4,190,Stanford,19980630
J.D. Paige,/player/JD-Paige/Summary/80960,G,6-3,166,Colorado State,19960216
Dylan Painter,/player/Dylan-Painter/Summary/89403,FC,6-9,245,Villanova,19980318
James Palmer,/player/James-Palmer/Summary/80097,G,6-6,210,Nebraska,19960731
Julius Palmer,/player/Julius-Palmer/Summary/117724,C,6-9,215,Oakland,19400101
Chris Palombizio,/player/Chris-Palombizio/Summary/106717,SG,6-6,212,Oakland,19400101
Kristinn Palsson,/player/Kristinn-Palsson/Summary/63971,GF,6-6,200,Marist,19971217
George Papas,/player/George-Papas/Summary/121930,GF,6-5,175,Monmouth,19400101
Tommy Papas,/player/Tommy-Papas/Summary/126316,G,6-3,195,William & Mary,19400101
Dererk Pardon,/player/Dererk-Pardon/Summary/84037,PF,6-8,235,Northwestern,19961001
Bubba Parham,/player/Bubba-Parham/Summary/122252,PG,5-11,180,Virginia Military,19400101
Greg Parham,/player/Greg-Parham/Summary/122253,G,6-4,220,Virginia Military,19400101
T.J. Parham,/player/TJ-Parham/Summary/99025,F,6-7,210,Green Bay,19400101
Ryan Parilla,/player/Ryan-Parilla/Summary/121692,G,5-10,160,San Jose State,19400101
David Park,/player/David-Park/Summary/109735,GF,6-5,215,UMBC,19400101
Brian Parker,/player/Brian-Parker/Summary/84671,SF,6-2,225,Marist,19400101
Noah Dickerson,/player/Noah-Dickerson/Summary/73161,PF,6-8,245,Washington,19970201
Trey Dickerson,/player/Trey-Dickerson/Summary/79853,G,6-0,185,Georgetown,19940120
James Dickey,/player/James-Dickey/Summary/84935,PF,6-10,200,UNC Greensboro,19961128
Marcus Dickinson,/player/Marcus-Dickinson/Summary/109464,G,6-2,177,Boise State,19400101
Gaston Diedhiou,/player/Gaston-Diedhiou/Summary/39733,FC,6-10,245,Minnesota,19931008
Michael Diggins,/player/Michael-Diggins/Summary/121664,F,6-8,185,Illinois-Chicago,19400101
Avery Diggs,/player/Avery-Diggs/Summary/122117,C,6-10,260,USC Upstate,19400101
Menno Dijkstra,/player/Menno-Dijkstra/Summary/54071,C,7-0,230,UC Riverside,19970111
Davon Dillard,/player/Davon-Dillard/Summary/83912,SF,6-5,215,Oklahoma State,19960320
Reggie Dillard,/player/Reggie-Dillard/Summary/24707,GF,6-4,222,Presbyterian,19920825
Alou Dillon,/player/Alou-Dillon/Summary/122392,F,6-8,225,South Dakota State,19400101
Samuel Dingba,/player/Samuel-Dingba/Summary/82899,F,6-5,205,Vermont,19400101
Cheikh Mbacke Diong,/player/Cheikh-Mbacke-Diong/Summary/121739,PF,6-11,225,UNLV,19400101
DeAndre Dishman,/player/DeAndre-Dishman/Summary/107635,SF,6-6,215,Eastern Kentucky,19400101
Seth Dittmer,/player/Seth-Dittmer/Summary/112894,F,6-9,210,Milwaukee,19980831
Darian Dixon,/player/Darian-Dixon/Summary/122287,F,6-8,220,Northwestern State,19400101
Delundre Dixon,/player/Delundre-Dixon/Summary/97607,G,6-3,180,Chicago State,19400101
Jarred Dixon,/player/Jarred-Dixon/Summary/85475,PG,6-4,171,Missouri State,19961108
Joonas Tahvanainen,/player/Joonas-Tahvanainen/Summary/52999,PF,6-6,220,Utah Valley,19960416
Imran Takhar,/player/Imran-Takhar/Summary/121434,G,6-4,200,Arizona State,19400101
Ezra Talbert,/player/Ezra-Talbert/Summary/80495,F,6-8,190,Liberty,19400101
Jordan Talley,/player/Jordan-Talley/Summary/80568,G,6-1,180,UNC Wilmington,19400101
Zoran Talley,/player/Zoran-Talley/Summary/80629,F,6-7,190,Iowa State,19940909
Caleb Tanner,/player/Caleb-Tanner/Summary/84956,SG,6-1,170,Radford,19400101
Patrick Tape,/player/Patrick-Tape/Summary/93379,PF,6-10,220,Columbia,19400101
Sterling Taplin,/player/Sterling-Taplin/Summary/71591,PG,6-1,200,Tulsa,19951221
Tanner Tapp,/player/Tanner-Tapp/Summary/85209,SG,6-2,190,Samford,19400101
Idris Taqqee,/player/Idris-Taqqee/Summary/80383,G,6-4,195,St. Bonaventure,19950315
Greg Tarca,/player/Greg-Tarca/Summary/82903,G,6-4,195,Quinnipiac,19400101
Anthony Tarke,/player/Anthony-Tarke/Summary/107288,PF,6-6,205,N.J.I.T.,19400101
Andrew Tate,/player/Andrew-Tate/Summary/122122,F,6-6,188,USC Upstate,19400101
Jae'sean Tate,/player/Jaesean-Tate/Summary/52353,SF,6-4,230,Ohio State,19951028
Jalen Tate,/player/Jalen-Tate/Summary/106706,SF,6-5,170,Northern Kentucky,19400101
Keleaf Tate,/player/Keleaf-Tate/Summary/121933,G,6-2,180,Niagara,19400101
Trey Tate,/player/Trey-Tate/Summary/105846,F,6-6,230,Auburn,19400101
Matt Vail,/player/Matt-Vail/Summary/121687,G,6-0,185,New Mexico,19400101
Markus Vallien,/player/Markus-Vallien/Summary/121770,G,5-10,160,St. Francis (PA),19400101
Travis Valmon,/player/Travis-Valmon/Summary/109273,G,6-1,175,Maryland,19970706
Nnamdi Van Dulm,/player/Nnamdi-Van-Dulm/Summary/122368,G,6-4,195,North Dakota State,19400101
Parker Van Dyke,/player/Parker-Van-Dyke/Summary/56843,G,6-3,185,Utah,19941015
Michael Van Hooser,/player/Michael-Van-Hooser/Summary/127610,G,6-3,195,Middle Tennessee State,19400101
Justin Van Pelt,/player/Justin-Van-Pelt/Summary/109635,C,6-11,220,Sam Houston State,19400101
Toby Van Ry,/player/Toby-Van-Ry/Summary/80961,F,6-10,210,Texas-San Antonio,19960416
Julius Van Sauers,/player/Julius-Van-Sauers/Summary/49110,FC,6-8,210,Long Island,19950701
Keaton Van Soelen,/player/Keaton-Van-Soelen/Summary/122430,F,6-7,190,Air Force,19400101
Andy Van Vliet,/player/Andy-Van-Vliet/Summary/32767,C,7-0,224,Wisconsin,19950727
Jacob Van,/player/Jacob-Van/Summary/80970,G,6-1,175,Air Force,19400101
Wes VanBeck,/player/Wes-VanBeck/Summary/79994,G,6-3,195,Houston,19960120
Cullen VanLeer,/player/Cullen-VanLeer/Summary/84194,SG,6-4,208,Missouri,19960525
Ben Vander Plas,/player/Ben-Vander-Plas/Summary/121847,F,6-8,235,Ohio,19400101
Jarred Vanderbilt,/player/Jarred-Vanderbilt/Summary/76237,F,6-9,214,Kentucky,19990403
A.J. Astroth,/player/AJ-Astroth/Summary/42347,G,6-6,200,Hampton,19930816
Matthew Atewe,/player/Matthew-Atewe/Summary/41253,FC,6-9,250,Pepperdine,19940307
Chekih Athie,/player/Chekih-Athie/Summary/123589,G,6-4,195,Grambling State,19400101
Paul Atkinson,/player/Paul-Atkinson/Summary/121874,F,6-10,220,Yale,19400101
Travis Atson,/player/Travis-Atson/Summary/86987,SF,6-5,205,Quinnipiac,19970401
Hassan Attia,/player/Hassan-Attia/Summary/107099,PF,6-10,270,Hartford,19940101
Tyrin Atwood,/player/Tyrin-Atwood/Summary/93805,SG,6-6,203,Lamar,19971104
Mason Aucoin,/player/Mason-Aucoin/Summary/109708,G,6-4,172,Louisiana-Lafayette,19970725
Aaron Augustin,/player/Aaron-Augustin/Summary/86023,PG,5-11,185,Stephen F. Austin,19400101
Kent Auslander,/player/Kent-Auslander/Summary/98890,G,6-6,200,Coppin State,19400101
Brandon Austin,/player/Brandon-Austin/Summary/84012,SF,6-5,200,Samford,19951207
Darius Austin,/player/Darius-Austin/Summary/81435,GF,6-6,220,Jackson State,19951210
DeAndre' Austin,/player/DeAndre-Austin/Summary/91361,G,5-9,155,Bowling Green,19400101
Spencer Newman,/player/Spencer-Newman/Summary/109287,G,6-3,185,NC State,19970709
Brendan Newton,/player/Brendan-Newton/Summary/105351,C,7-1,200,Liberty,19400101
Ja'Quan Newton,/player/JaQuan-Newton/Summary/52561,G,6-2,187,Miami (FL),19950823
Tshiefu Ngalakulondi,/player/Tshiefu-Ngalakulondi/Summary/121605,F,6-6,210,St. Bonaventure,19400101
L'Hassane Niangane,/player/LHassane-Niangane/Summary/32777,C,6-10,245,Gardner-Webb,19940404
Josh Nicholas,/player/Josh-Nicholas/Summary/121765,G,6-2,175,St. Francis (NY),19400101
Karl Nicholas,/player/Karl-Nicholas/Summary/122054,F,6-7,185,Montana,19400101
David Nichols,/player/David-Nichols/Summary/97402,G,6-0,190,Albany,19960326
Isaiah Nichols,/player/Isaiah-Nichols/Summary/107591,SG,6-5,180,San Jose State,19400101
Kipper Nichols,/player/Kipper-Nichols/Summary/85113,SF,6-6,225,Illinois,19960707
David Nickelberry,/player/David-Nickelberry/Summary/88835,PF,6-7,202,Memphis,19400101
Jared Nickens,/player/Jared-Nickens/Summary/71806,SG,6-7,205,Maryland,19941227
Connor Niego,/player/Connor-Niego/Summary/121711,F,6-8,205,Holy Cross,19400101
Samuli Nieminen,/player/Samuli-Nieminen/Summary/75622,F,6-7,215,Stephen F. Austin,19960824
Malcolm Laws,/player/Malcolm-Laws/Summary/81548,G,6-1,191,Nebraska,19950812
A.J. Lawson,/player/AJ-Lawson/Summary/107117,SF,6-5,195,North Texas,19400101
Dedric Lawson,/player/Dedric-Lawson/Summary/73141,PF,6-9,230,Kansas,19971001
K.J. Lawson,/player/KJ-Lawson/Summary/74070,SF,6-8,205,Kansas,19960507
Lance Lawson,/player/Lance-Lawson/Summary/111244,G,6-2,189,Army,19400101
Ryan Layman,/player/Ryan-Layman/Summary/121737,GF,6-7,210,Bryant,19400101
"Mike Layssard, Jr.",/player/Mike-Layssard-Jr/Summary/89975,PF,6-8,255,Rhode Island,19961120
Cameron Lazare,/player/Cameron-Lazare/Summary/127903,G,5-11,202,Northwestern State,19400101
Ty Lazenby,/player/Ty-Lazenby/Summary/121476,G,6-5,210,Oklahoma,19400101
Clayton Le Samn,/player/Clayton-Le-Samn/Summary/107135,SG,6-4,188,Holy Cross,19400101
Mike LeBlanc,/player/Mike-LeBlanc/Summary/80707,F,6-6,195,Princeton,19400101
Seth LeDay,/player/Seth-LeDay/Summary/109622,F,6-6,195,East Carolina,19960620
Terrance LeFlore,/player/Terrance-LeFlore/Summary/59318,G,6-1,170,Alabama State,19950530
Alonde LeGrand,/player/Alonde-LeGrand/Summary/121910,GF,6-6,185,Fairfield,19400101
Manu Lecomte,/player/Manu-Lecomte/Summary/32757,G,5-11,175,Baylor,19950816
Oumar Barry,/player/Oumar-Barry/Summary/84377,C,6-11,230,San Jose State,19400101
Jackson Bart,/player/Jackson-Bart/Summary/81510,F,6-5,215,Cincinnati,19960111
"Frank Bartley, IV",/player/Frank-Bartley-IV/Summary/57583,G,6-3,214,Louisiana-Lafayette,19940225
Justice Bartley,/player/Justice-Bartley/Summary/97425,G,6-5,212,Virginia,19400101
Marcus Bartley,/player/Marcus-Bartley/Summary/80377,G,6-4,176,Southern Illinois,19951009
Chris Barton,/player/Chris-Barton/Summary/90836,PG,6-3,185,Niagara,19960926
Bitumba Baruti,/player/Bitumba-Baruti/Summary/109427,G,6-6,210,Washington,19400101
Dontay Bassett,/player/Dontay-Bassett/Summary/85712,PF,6-9,240,Florida,19400101
Justin Bassey,/player/Justin-Bassey/Summary/85721,SG,6-5,210,Harvard,19400101
James Batemon III,/player/James-Batemon-III/Summary/117755,G,6-1,188,Loyola Marymount,19400101
Keita Bates-Diop,/player/Keita-Bates-Diop/Summary/71803,SF,6-7,235,Ohio State,19960123
Wil Bathurst,/player/Wil-Bathurst/Summary/80714,GF,6-3,188,Cornell,19400101
Dana Batt,/player/Dana-Batt/Summary/84970,PF,6-9,225,Colgate,19400101
Evan Battey,/player/Evan-Battey/Summary/87277,PF,6-8,283,Colorado,19980927
Tyus Battle,/player/Tyus-Battle/Summary/42370,SG,6-6,205,Syracuse,19970923
"Lavar Batts, Jr.",/player/Lavar-Batts-Jr/Summary/76750,PG,6-2,170,NC State,19981225
Julian Batts,/player/Julian-Batts/Summary/107576,PG,5-11,175,Long Island,19400101
Jake Baughman,/player/Jake-Baughman/Summary/109369,G,6-3,180,Loyola (IL),19400101
Noah Baumann,/player/Noah-Baumann/Summary/107558,SF,6-5,180,San Jose State,19400101
Hugh Baxter,/player/Hugh-Baxter/Summary/121703,F,6-8,205,Colgate,19400101
